Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
16,18.7 29.1 21.5,74.0,0.0 0.0 0.0,4.7
17,18.2 29.0 21.7,69.3,0.0 0.0 0.0,5.9
18,18.0 27.8 21.8,68.0,0.0 1.5 1.5,5.9
19,18.8 27.1 22.2,75.0,0.0 47.7 47.7,1.3
20,17.4 21.6 19.0,90.0,10.6 0.0 10.6,0.0
21,16.5 28.4 21.0,73.0,0.0 0.0 0.0,6.3
22,18.0 29.8 22.0,71.3,0.0 0.0 0.0,6.5
23,17.5 29.7 21.9,73.0,1.5 1.1 2.6,7.6
24,18.2 27.8 21.6,78.3,0.0 2.7 2.7,5.6
25,18.4 27.2 21.2,78.7,1.2 0.0 1.2,2.2
26,17.4 28.3 21.0,76.7,0.1 48.2 48.3,6.0
27,17.8 26.6 20.6,75.0,0.0 0.0 0.0,5.2
28,18.0 29.2 22.0,68.0,0.0 0.0 0.0,7.0
29,17.0 31.7 22.6,67.0,0.0 0.0 0.0,7.7
30,18.4 31.0 22.8,68.7,0.1 0.0 0.1,7.7
31,19.0 26.5 21.8,76.3,0.0 0.0 0.0,0.1
Total:,,,28.1 174.2 202.3,149.1
Promedio:,18.0 27.9 21.7,75.1,,
Estacion:, Cocorná,Dpto: Antioquia,Latitud  :,6°,4',N
Año:, 2006,Mpio: Cocorná,Longitud:,75°,11',W
"",,Altitud:,1344,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.8 24.5 20.6,80.7,0.0 0.0 0.0,5.5
2,18.0 25.5 21.4,82.3,0.0 0.6 0.6,8.5
3,16.0 24.8 19.6,84.0,9.5 0.5 10.0,5.2
4,15.1 23.5 18.8,91.0,2.4 3.4 5.8,4.2
5,16.2 21.5 18.2,91.3,4.7 2.9 7.6,0.2
6,16.7 21.6 18.8,92.0,12.8 24.9 37.7,1.3
7,16.2 23.5 18.9,87.7,1.2 51.4 52.6,2.3
8,15.5 23.6 19.5,87.7,12.3 13.6 25.9,7.2
9,17.2 25.2 21.0,83.7,0.0 3.7 3.7,5.0
10,17.0 24.0 19.8,85.0,0.0 2.0 2.0,2.9
11,17.8 25.0 20.6,86.3,0.0 0.0 0.0,6.6
12,15.8 25.5 21.0,82.0,0.0 0.0 0.0,8.9
13,17.2 25.2 20.9,85.0,0.1 0.4 0.5,6.1
14,18.5 25.0 21.2,86.0,0.0 8.9 8.9,3.5
15,17.6 24.8 20.7,87.3,2.4 3.6 6.0,4.6
16,16.0 25.2 20.5,82.0,0.0 8.2 8.2,8.0
17,18.0 26.5 21.6,82.7,0.0 0.0 0.0,8.8
18,18.2 24.0 20.4,90.3,0.3 0.0 0.3,3.3
19,15.9 25.6 21.5,80.3,0.0 0.0 0.0,8.8
20,15.4 25.2 20.4,79.3,0.0 0.5 0.5,6.0
21,17.4 26.5 20.6,80.7,0.0 0.0 0.0,5.0
22,17.6 26.8 22.2,81.7,0.0 7.5 7.5,9.2
23,17.4 27.0 22.2,81.7,0.0 8.3 8.3,9.1
24,17.5 25.2 20.8,85.7,4.0 8.5 12.5,0.7
25,17.8 26.2 22.5,83.7,0.0 10.1 10.1,7.3
26,19.2 26.5 21.9,87.7,0.5 3.2 3.7,4.8
27,18.6 25.0 21.2,83.3,0.4 0.0 0.4,1.0
28,17.4 27.0 22.1,82.7,5.9 43.0 48.9,8.4
29,16.2 26.5 20.6,83.7,0.0 0.0 0.0,4.9
30,17.2 26.8 21.6,84.7,0.5 21.7 22.2,5.7
31,17.5 25.8 20.8,85.0,0.0 27.0 27.0,5.9
Total:,,,57.0 253.9 310.9,168.9
Promedio:,17.0 25.1 20.7,84.7,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Febrero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 25.0 20.8,87.7,0.0 20.6 20.6,6.5
2,17.5 25.8 21.0,89.7,2.5 20.8 23.3,4.8
3,17.6 24.8 21.0,90.7,1.9 42.4 44.3,3.3
4,17.0 24.0 20.2,85.7,0.5 0.0 0.5,2.1
5,17.8 22.5 19.0,93.3,14.0 0.0 14.0,0.0
6,15.4 25.8 21.2,81.3,0.0 0.0 0.0,7.7
7,17.4 24.8 21.0,84.0,0.0 0.0 0.0,0.0
8,17.0 25.0 20.8,84.3,0.5 0.0 0.5,6.6
9,16.4 25.2 21.2,81.0,0.0 0.0 0.0,4.9
10,17.8 26.0 21.9,78.7,0.0 0.0 0.0,6.6
11,19.2 26.6 22.5,84.3,0.0 0.0 0.0,8.6
12,19.8 26.2 22.0,86.0,0.0 1.0 1.0,6.1
13,19.2 23.5 21.0,88.3,0.0 0.0 0.0,3.1
14,16.4 25.8 20.8,84.7,0.0 0.0 0.0,4.4
15,15.8 24.4 20.6,84.3,0.7 0.0 0.7,3.7
16,17.2 26.5 22.5,79.0,0.0 13.0 13.0,7.6
17,18.2 25.6 20.9,88.7,0.5 0.0 0.5,3.6
18,18.4 26.0 22.3,82.7,0.0 1.2 1.2,6.3
19,18.6 26.0 21.8,83.0,0.0 0.0 0.0,5.5
20,17.4 26.5 22.4,74.7,0.0 0.0 0.0,9.9
21,17.5 26.0 22.0,80.7,0.0 0.0 0.0,7.3
22,17.2 27.5 21.8,77.7,0.0 0.0 0.0,8.5
23,17.6 27.8 23.3,78.3,0.0 2.2 2.2,9.2
24,17.3 27.9 22.7,81.0,3.3 38.0 41.3,4.3
25,17.0 27.4 22.4,79.0,0.0 43.1 43.1,8.0
26,17.4 24.8 21.2,88.3,0.0 69.1 69.1,1.4
27,16.0 24.0 19.8,84.0,0.0 1.3 1.3,4.3
28,16.8 25.0 21.4,81.7,0.0 0.0 0.0,8.3
29,,,,
30,,,,
31,,,,
Total:,,,23.9 252.7 276.6,152.6
Promedio:,17.4 25.6 21.4,83.7,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Marzo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,18.6 26.8 22.4,82.3,0.0 6.3 6.3,7.1
2,17.0 26.6 21.9,82.7,0.0 2.0 2.0,6.1
3,19.2 25.3 20.6,92.7,0.0 0.0 0.0,3.2
4,17.2 25.2 21.2,87.3,0.0 0.9 0.9,5.9
5,18.8 24.8 21.2,89.3,0.0 38.0 38.0,3.0
6,18.0 24.5 20.7,89.3,1.7 47.9 49.6,1.4
7,16.0 22.5 18.7,91.7,0.2 1.3 1.5,0.4
8,17.0 22.0 19.0,93.3,3.9 22.2 26.1,0.1
9,17.2 24.0 18.9,87.3,14.8 11.8 26.6,1.0
10,16.6 23.6 19.2,89.7,0.0 12.4 12.4,1.8
11,17.2 26.0 21.6,82.0,1.3 0.0 1.3,4.2
12,16.8 25.0 21.1,83.7,0.2 0.0 0.2,2.7
13,16.6 25.2 21.2,83.3,0.0 0.0 0.0,5.7
14,17.8 26.0 21.9,81.0,0.0 0.0 0.0,6.0
15,16.2 24.5 20.0,83.0,0.0 28.6 28.6,3.1
16,16.6 25.5 21.2,81.7,0.0 18.0 18.0,7.0
17,17.0 24.6 20.5,80.7,0.0 0.6 0.6,2.2
18,16.6 25.0 20.2,83.3,3.7 0.2 3.9,3.7
19,16.8 24.4 20.9,85.0,0.0 2.0 2.0,4.0
20,16.6 25.5 20.8,84.3,0.0 0.0 0.0,5.3
21,16.4 26.9 19.6,83.0,48.7 18.7 67.4,5.4
22,16.1 26.3 20.8,83.3,3.4 15.8 19.2,7.6
23,16.8 26.5 21.4,86.0,0.0 11.2 11.2,6.8
24,17.8 24.8 21.0,84.7,2.6 1.2 3.8,3.0
25,17.4 25.5 20.5,83.0,3.5 14.0 17.5,2.9
26,17.0 23.5 20.6,87.0,0.1 57.3 57.4,0.3
27,17.8 26.6 21.8,79.3,0.0 0.0 0.0,6.6
28,17.6 26.5 21.7,84.0,0.0 0.0 0.0,9.7
29,17.4 28.2 22.2,76.7,0.0 4.3 4.3,5.4
30,18.0 27.4 22.4,83.0,0.0 2.7 2.7,5.5
31,17.6 25.4 20.8,85.3,2.5 24.9 27.4,6.1
Total:,,,86.6 342.3 428.9,133.2
Promedio:,17.2 25.3 20.8,84.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 24.6 20.8,87.3,0.5 5.5 6.0,3.4
2,18.0 23.5 19.3,94.3,7.9 0.0 7.9,1.5
3,17.4 25.8 21.1,84.3,0.3 18.6 18.9,7.0
4,17.8 24.5 20.8,87.3,1.8 43.4 45.2,3.0
5,16.6 22.8 19.5,91.7,0.6 26.2 26.8,1.3
6,16.0 24.6 20.3,85.3,0.0 19.2 19.2,4.4
7,17.2 25.5 20.5,87.3,3.3 58.0 61.3,4.5
8,17.0 26.5 22.0,84.0,0.0 28.5 28.5,7.1
9,16.2 25.8 20.2,84.3,7.8 0.1 7.9,4.7
10,16.4 25.0 20.5,81.3,0.2 9.0 9.2,7.3
11,16.8 26.2 21.0,83.7,0.0 0.8 0.8,5.3
12,17.2 22.5 19.2,91.0,11.0 0.0 11.0,0.1
13,16.6 22.0 18.5,91.3,16.6 32.1 48.7,0.9
14,16.0 19.3 17.8,94.0,1.5 7.7 9.2,0.0
15,15.8 25.0 20.6,85.3,0.0 0.2 0.2,3.4
16,16.5 26.0 21.2,83.3,0.0 25.0 25.0,7.7
17,17.3 26.2 21.4,84.7,0.0 2.5 2.5,7.0
18,17.5 25.8 21.2,85.7,0.0 25.5 25.5,4.9
19,16.8 26.7 21.0,84.7,0.0 11.9 11.9,6.1
20,16.6 26.5 21.8,83.7,0.0 0.0 0.0,5.5
21,18.2 26.6 22.4,79.3,0.0 8.4 8.4,5.2
22,18.8 28.4 23.3,78.3,0.0 0.8 0.8,8.2
23,18.4 23.4 20.9,87.3,0.0 0.9 0.9,0.0
24,17.6 27.2 22.2,81.7,0.0 7.8 7.8,7.1
25,17.2 26.2 22.2,84.7,0.0 7.0 7.0,3.4
26,17.0 24.0 19.4,90.0,0.0 2.1 2.1,0.9
27,17.2 26.5 21.0,81.7,0.6 17.5 18.1,6.3
28,16.8 24.0 20.2,88.3,4.9 10.2 15.1,2.6
29,16.4 25.6 21.4,83.0,0.0 86.4 86.4,3.4
30,17.2 24.0 20.6,86.7,0.0 0.0 0.0,1.0
31,,,,
Total:,,,57.0 455.3 512.3,123.2
Promedio:,17.1 25.0 20.7,85.8,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.2 26.6 21.6,86.0,0.5 27.9 28.4,2.9
2,17.0 25.5 20.8,85.7,1.2 27.1 28.3,3.1
3,18.0 25.7 21.4,85.0,1.8 15.6 17.4,3.4
4,17.1 25.0 19.1,88.3,56.4 15.7 72.1,2.6
5,16.8 24.0 20.1,90.3,0.7 3.1 3.8,1.9
6,17.4 24.6 20.5,86.7,2.4 12.4 14.8,1.2
7,18.4 25.0 20.0,87.7,0.5 3.6 4.1,3.7
8,17.5 24.0 21.0,87.0,0.0 53.1 53.1,4.3
9,16.7 26.2 20.0,86.7,15.6 21.6 37.2,3.2
10,16.5 23.0 19.4,91.7,0.1 0.3 0.4,0.6
11,16.6 24.6 19.2,89.0,45.3 4.6 49.9,2.5
12,16.8 24.2 20.8,90.3,1.2 33.6 34.8,2.9
13,17.8 25.8 21.6,83.7,0.0 0.6 0.6,5.5
14,18.0 26.5 22.4,84.0,0.0 0.0 0.0,8.6
15,17.8 27.0 22.6,81.3,0.0 2.1 2.1,8.4
16,18.8 26.0 22.2,85.0,0.0 25.3 25.3,6.0
17,17.5 23.6 19.3,94.0,8.2 2.8 11.0,0.4
18,18.4 25.6 21.2,85.3,1.0 44.2 45.2,4.2
19,17.4 24.4 20.8,89.3,3.7 0.0 3.7,1.2
20,16.8 25.5 20.7,85.0,0.0 0.0 0.0,4.3
21,16.6 26.0 20.8,81.7,4.9 5.2 10.1,4.1
22,18.0 26.5 22.5,81.3,0.0 4.5 4.5,7.8
23,17.6 26.6 22.4,80.0,0.0 10.9 10.9,8.4
24,17.6 26.4 21.1,84.3,0.3 0.0 0.3,6.8
25,17.8 27.6 22.5,79.3,0.0 0.0 0.0,9.2
26,18.8 26.6 22.2,82.0,0.0 0.0 0.0,7.1
27,18.6 25.6 21.7,84.0,0.0 0.0 0.0,4.2
28,18.0 25.5 21.2,86.7,0.7 30.9 31.6,3.3
29,17.0 22.0 20.2,94.7,0.6 0.0 0.6,0.0
30,17.0 27.0 21.5,83.3,0.0 1.5 1.5,5.4
31,18.0 26.8 22.6,86.3,0.0 7.4 7.4,6.2
Total:,,,145.1 354.0 499.1,133.4
Promedio:,17.5 25.5 21.1,86.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 25.0 19.6,89.7,26.2 14.3 40.5,0.5
2,15.6 26.0 21.1,83.3,0.0 38.9 38.9,7.7
3,16.2 25.0 20.5,80.0,0.3 4.8 5.1,4.5
4,18.0 26.0 21.0,85.7,1.4 21.2 22.6,5.6
5,16.8 25.5 20.8,84.7,3.0 35.7 38.7,5.1
6,16.5 23.5 19.5,86.3,0.9 13.5 14.4,1.5
7,17.5 22.8 18.8,95.0,22.3 0.9 23.2,0.3
8,16.6 22.2 18.8,92.3,5.0 0.0 5.0,0.3
9,16.2 24.3 19.4,85.0,5.4 17.6 23.0,3.8
10,17.0 23.8 20.2,86.0,7.3 0.0 7.3,1.3
11,17.4 25.6 19.9,87.7,0.0 0.0 0.0,2.8
12,16.8 26.0 21.4,82.3,12.0 3.4 15.4,7.2
13,17.6 26.5 20.4,81.0,0.0 0.6 0.6,6.0
14,17.5 24.5 20.6,88.0,1.0 0.2 1.2,5.1
15,17.0 27.5 22.0,78.0,0.0 6.4 6.4,7.6
16,17.5 25.6 20.8,84.0,9.5 0.0 9.5,4.7
17,16.4 26.8 21.8,77.7,0.0 0.0 0.0,8.8
18,17.6 26.6 22.0,80.7,0.0 2.3 2.3,9.3
19,17.2 27.2 22.0,77.0,0.0 6.8 6.8,9.2
20,16.6 27.0 21.6,83.0,0.0 0.0 0.0,7.2
21,17.6 23.2 20.6,89.0,9.5 0.0 9.5,0.3
22,15.6 28.8 22.2,78.0,0.0 0.3 0.3,8.6
23,18.4 27.8 21.0,79.7,0.0 0.2 0.2,5.8
24,18.2 25.0 21.0,80.3,0.0 0.0 0.0,4.3
25,16.4 25.8 21.8,78.7,0.0 0.0 0.0,8.6
26,18.2 26.8 22.5,80.7,0.0 4.0 4.0,9.0
27,17.4 27.4 22.3,84.0,0.0 0.0 0.0,8.4
28,17.6 26.2 21.6,84.0,0.0 0.0 0.0,4.2
29,16.6 26.8 22.2,75.0,0.0 0.0 0.0,10.1
30,16.5 27.6 21.9,75.3,0.0 0.0 0.0,8.2
31,,,,
Total:,,,103.8 171.1 274.9,166.0
Promedio:,17.1 25.8 21.0,83.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.5 27.5 22.0,73.7,0.0 0.0 0.0,5.5
2,17.4 27.0 23.2,67.7,0.0 0.0 0.0,3.3
3,17.5 27.5 23.1,74.0,0.0 0.0 0.0,7.4
4,17.2 26.5 21.6,77.7,0.0 0.0 0.0,7.7
5,16.5 27.6 21.3,74.0,0.0 0.0 0.0,8.9
6,16.2 27.0 22.3,74.7,0.0 0.0 0.0,9.3
7,16.8 28.5 22.7,74.0,0.0 0.0 0.0,8.5
8,17.4 28.4 22.3,73.7,0.0 0.0 0.0,10.1
9,17.8 27.5 22.4,75.7,0.0 0.0 0.0,5.2
10,17.4 26.5 22.2,77.3,0.0 0.0 0.0,6.5
11,17.2 28.0 22.2,76.7,0.0 0.0 0.0,8.8
12,17.4 27.5 22.0,78.0,0.0 16.3 16.3,9.9
13,17.3 28.5 22.7,75.7,0.0 2.8 2.8,7.2
14,17.0 25.0 21.2,82.7,0.0 53.0 53.0,2.4
15,16.4 26.5 21.6,80.7,0.0 0.0 0.0,8.2
16,18.0 25.5 21.7,81.0,0.0 0.0 0.0,6.2
17,16.4 27.0 21.8,73.3,0.0 4.7 4.7,9.7
18,16.5 26.0 21.8,77.3,0.0 0.0 0.0,7.8
19,17.2 26.6 21.7,69.7,0.0 0.0 0.0,6.9
20,15.0 27.0 21.0,74.0,0.0 0.0 0.0,9.7
21,17.0 27.3 23.0,74.3,0.0 9.5 9.5,9.8
22,17.6 24.4 20.8,84.7,0.0 0.5 0.5,4.2
23,17.5 26.6 22.0,77.7,0.0 0.0 0.0,7.8
24,16.8 27.0 22.3,73.7,0.0 0.0 0.0,7.3
25,16.5 26.0 21.2,79.0,0.0 0.0 0.0,6.9
26,17.5 26.8 22.0,80.0,0.0 12.1 12.1,6.0
27,16.3 24.8 19.7,85.7,1.0 8.5 9.5,6.7
28,16.4 20.6 18.2,87.7,0.4 0.0 0.4,0.1
29,15.0 25.8 21.4,81.0,0.0 0.5 0.5,8.5
30,16.8 25.6 20.7,82.0,0.0 5.6 5.6,7.9
31,16.8 26.5 21.0,81.0,0.0 0.0 0.0,8.2
Total:,,,1.4 113.5 114.9,222.6
Promedio:,16.9 26.5 21.7,77.4,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Agosto,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.8 27.6 21.7,74.3,0.0 0.0 0.0,10.3
2,17.0 28.0 21.8,69.0,0.0 0.0 0.0,10.7
3,16.0 27.5 21.0,71.0,0.0 0.0 0.0,10.2
4,16.5 27.6 21.5,70.3,0.0 0.0 0.0,10.3
5,17.2 27.8 22.0,71.7,0.0 0.0 0.0,9.9
6,16.2 27.5 22.0,70.0,0.0 0.4 0.4,10.6
7,17.8 25.0 21.1,81.3,0.5 3.0 3.5,0.7
8,17.8 26.5 22.2,82.3,0.0 0.7 0.7,7.4
9,17.5 25.8 20.8,81.3,0.0 1.5 1.5,5.2
10,18.8 28.5 23.7,79.7,0.0 29.2 29.2,10.0
11,17.0 26.0 21.4,84.0,0.0 17.0 17.0,2.5
12,16.6 26.2 21.0,77.7,0.0 0.0 0.0,9.6
13,16.8 28.5 22.4,67.3,0.0 0.0 0.0,10.1
14,16.0 29.5 22.2,67.3,0.0 2.9 2.9,10.1
15,16.8 27.5 21.8,82.3,0.0 21.7 21.7,6.0
16,16.2 25.8 22.0,78.0,0.0 32.2 32.2,6.2
17,16.3 24.5 20.7,83.7,0.0 39.2 39.2,3.8
18,16.6 24.6 19.8,87.0,0.0 0.2 0.2,2.6
19,17.5 27.5 22.3,80.0,0.0 0.0 0.0,8.7
20,18.0 29.7 22.9,78.0,0.0 31.5 31.5,8.3
21,17.6 26.8 20.8,81.3,0.0 0.0 0.0,6.2
22,15.8 28.6 22.7,71.7,0.0 23.6 23.6,10.2
23,15.4 28.4 22.9,76.3,0.0 24.0 24.0,9.8
24,16.2 23.0 18.4,91.0,6.1 0.0 6.1,1.1
25,16.0 25.6 20.8,85.7,2.6 16.2 18.8,4.7
26,16.4 26.0 21.6,80.3,0.0 77.0 77.0,7.6
27,16.3 25.9 20.6,84.0,1.4 0.0 1.4,6.3
28,16.6 27.0 22.0,81.0,0.0 0.0 0.0,8.9
29,16.6 28.6 23.0,78.0,0.0 19.1 19.1,9.1
30,16.5 26.5 21.5,82.0,0.0 0.0 0.0,6.7
31,17.2 27.5 23.0,78.7,0.0 27.5 27.5,9.8
Total:,,,10.6 366.9 377.5,233.6
Promedio:,16.8 27.0 21.7,78.3,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.8 26.0 21.0,82.0,0.0 1.8 1.8,4.6
2,16.6 27.5 22.5,81.3,0.0 8.3 8.3,8.5
3,16.7 27.0 21.9,80.3,0.0 30.0 30.0,9.4
4,16.4 25.5 20.8,87.3,0.0 0.0 0.0,4.2
5,16.6 26.8 21.8,81.0,0.0 3.0 3.0,7.4
6,17.6 27.6 22.5,76.3,0.0 10.5 10.5,7.8
7,16.6 25.5 21.2,84.3,0.0 13.6 13.6,5.1
8,16.0 26.0 21.8,79.3,0.0 74.0 74.0,7.0
9,15.8 26.5 21.5,82.7,0.0 4.0 4.0,8.2
10,18.6 27.8 22.8,80.0,0.0 33.3 33.3,9.0
11,16.5 26.0 21.4,82.7,0.0 1.0 1.0,7.1
12,16.6 25.8 21.8,80.0,0.0 8.5 8.5,8.9
13,16.8 24.8 19.4,89.0,1.0 0.5 1.5,2.0
14,17.0 27.3 22.2,82.7,0.0 36.2 36.2,9.1
15,16.6 25.6 21.0,84.7,0.0 8.3 8.3,4.0
16,16.2 27.0 21.8,82.0,0.0 0.9 0.9,8.4
17,17.4 26.5 21.8,83.3,0.0 31.9 31.9,8.7
18,16.8 24.6 20.3,85.0,4.3 0.0 4.3,4.9
19,17.0 25.8 21.1,81.0,0.0 19.0 19.0,6.1
20,16.8 27.0 21.7,80.7,0.0 8.6 8.6,8.3
21,16.4 26.8 22.3,81.7,0.0 25.9 25.9,8.8
22,16.5 26.5 22.2,79.3,0.0 0.0 0.0,9.6
23,17.0 28.4 22.8,77.3,0.0 4.9 4.9,9.6
24,17.2 27.0 22.0,78.0,0.0 0.0 0.0,2.4
25,17.9 26.5 22.2,78.7,0.0 36.4 36.4,10.0
26,15.0 28.5 21.6,75.3,0.0 0.0 0.0,9.1
27,18.0 29.2 23.4,78.0,0.0 0.0 0.0,10.1
28,18.4 28.8 23.1,79.0,0.0 3.2 3.2,8.1
29,18.0 26.6 21.9,80.7,0.0 0.0 0.0,6.0
30,17.4 27.6 22.6,81.3,0.0 19.6 19.6,6.6
31,,,,
Total:,,,5.3 383.4 388.7,219.0
Promedio:,16.9 26.8 21.8,81.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.6 27.0 22.5,83.7,0.0 47.5 47.5,7.8
2,16.0 25.5 20.6,85.7,0.0 4.0 4.0,1.2
3,18.0 25.8 22.0,84.7,0.0 15.1 15.1,3.7
4,17.2 25.5 21.6,85.0,0.0 9.4 9.4,7.4
5,18.6 27.8 22.4,83.3,0.0 0.0 0.0,7.4
6,18.8 28.8 23.2,75.7,0.0 1.2 1.2,8.5
7,17.6 29.2 23.4,77.0,0.1 0.2 0.3,9.4
8,19.0 27.8 22.8,81.7,1.5 19.3 20.8,5.1
9,17.6 26.0 21.2,84.3,37.8 16.8 54.6,4.6
10,16.4 27.0 21.8,79.0,0.0 36.4 36.4,4.9
11,16.0 24.3 19.7,87.3,0.0 0.0 0.0,1.2
12,16.8 25.8 20.3,84.7,20.0 5.5 25.5,6.7
13,17.4 26.0 20.6,88.7,16.6 34.5 51.1,4.3
14,17.5 23.8 20.1,88.3,4.3 5.0 9.3,0.7
15,17.0 21.8 19.4,93.0,0.2 0.0 0.2,0.6
16,17.5 24.0 20.0,89.7,6.8 39.8 46.6,2.1
17,16.0 21.0 18.5,92.3,2.9 0.0 2.9,0.1
18,16.4 25.2 21.2,84.3,3.0 1.6 4.6,6.0
19,17.2 23.0 20.1,88.0,0.0 0.5 0.5,0.5
20,17.4 23.4 20.2,89.3,0.0 0.0 0.0,0.5
21,15.0 26.5 21.6,77.0,0.0 27.4 27.4,9.6
22,17.6 26.5 20.8,84.7,0.7 11.8 12.5,4.9
23,17.4 24.8 20.6,87.7,1.0 0.0 1.0,3.5
24,15.4 27.0 22.0,76.7,0.0 0.2 0.2,9.3
25,17.5 27.6 22.5,80.0,0.0 50.4 50.4,9.9
26,17.2 24.8 21.3,85.3,0.0 0.0 0.0,3.7
27,16.6 26.8 22.0,82.7,0.0 33.0 33.0,9.1
28,16.4 26.5 21.8,83.3,0.0 50.1 50.1,5.6
29,16.6 26.2 21.6,84.3,0.0 7.5 7.5,7.3
30,17.4 27.0 20.5,84.7,0.0 13.0 13.0,4.5
31,17.5 23.5 20.8,86.3,0.0 0.0 0.0,3.4
Total:,,,94.9 430.2 525.1,153.5
Promedio:,17.1 25.7 21.2,84.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Noviembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 24.0 20.8,83.3,6.6 0.0 6.6,3.6
2,18.0 25.4 21.3,84.7,0.0 0.0 0.0,6.0
3,18.3 26.8 22.2,81.3,0.8 0.9 1.7,8.5
4,17.6 26.5 22.4,84.0,0.0 32.9 32.9,7.6
5,17.0 25.2 21.3,85.3,0.0 0.0 0.0,2.0
6,18.0 25.4 20.9,86.7,1.3 0.0 1.3,3.3
7,18.2 24.6 20.4,88.0,7.4 3.1 10.5,2.2
8,18.0 23.5 19.2,93.7,16.0 5.0 21.0,1.9
9,17.9 26.0 21.4,83.0,2.1 45.8 47.9,3.9
10,17.0 26.5 21.6,82.7,0.3 41.3 41.6,7.6
11,17.4 27.0 21.8,83.0,0.0 27.5 27.5,6.7
12,17.0 25.0 20.3,83.0,0.0 0.0 0.0,4.3
13,16.4 25.5 20.0,88.0,41.3 3.3 44.6,5.2
14,17.5 24.2 19.4,92.0,15.4 45.1 60.5,2.5
15,17.2 22.6 19.4,91.0,0.3 39.5 39.8,0.6
16,15.6 25.0 20.3,83.0,0.0 2.4 2.4,4.9
17,17.5 24.8 21.2,86.3,0.0 0.0 0.0,4.1
18,16.6 25.6 19.1,89.3,0.0 0.0 0.0,2.5
19,17.0 26.2 20.4,84.7,6.7 6.0 12.7,6.1
20,16.8 26.8 20.8,78.7,0.3 18.4 18.7,6.8
21,16.5 26.0 20.2,78.3,0.0 14.3 14.3,6.4
22,17.6 25.8 21.2,84.3,0.0 1.8 1.8,7.9
23,16.9 26.3 21.4,83.0,0.0 24.6 24.6,7.0
24,18.0 26.8 21.4,81.7,16.9 5.4 22.3,4.2
25,17.7 26.0 20.2,87.7,14.4 41.9 56.3,5.9
26,16.7 26.1 21.6,83.0,0.0 0.0 0.0,9.2
27,19.0 25.0 21.2,82.7,0.0 5.5 5.5,5.6
28,17.8 25.8 21.6,81.7,0.0 27.6 27.6,6.1
29,17.2 25.8 21.6,83.0,0.0 29.5 29.5,7.9
30,18.5 26.8 22.4,83.7,0.0 12.3 12.3,8.0
31,,,,
Total:,,,129.8 434.1 563.9,158.5
Promedio:,17.4 25.6 20.9,84.7,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Diciembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,18.5 26.6 22.2,84.0,0.0 13.9 13.9,8.7
2,18.3 25.8 20.6,84.7,3.8 0.0 3.8,3.9
3,18.0 27.0 21.3,85.0,1.7 0.0 1.7,5.3
4,16.6 26.9 21.8,79.3,3.2 27.7 30.9,6.8
5,19.0 26.2 21.1,85.7,34.3 49.3 83.6,6.8
6,18.5 26.0 21.6,83.3,0.0 4.8 4.8,4.7
7,18.9 25.6 21.0,87.7,0.3 0.0 0.3,1.4
8,17.6 27.0 21.3,79.7,16.9 1.4 18.3,3.8
9,18.0 25.0 20.7,86.7,8.6 49.3 57.9,2.4
10,17.4 26.8 21.8,83.0,0.0 3.8 3.8,7.5
11,18.5 26.5 22.0,85.0,4.0 33.2 37.2,6.9
12,16.6 23.0 18.8,87.7,4.3 0.0 4.3,1.3
